system,workload,baseline_MAPE_mean,baseline_MAPE_std,baseline_MAPE_min,baseline_MAPE_max,baseline_MAE_mean,baseline_MAE_std,baseline_MAE_min,baseline_MAE_max,baseline_RMSE_mean,baseline_RMSE_std,baseline_RMSE_min,baseline_RMSE_max,rf_MAPE_mean,rf_MAPE_std,rf_MAPE_min,rf_MAPE_max,rf_MAE_mean,rf_MAE_std,rf_MAE_min,rf_MAE_max,rf_RMSE_mean,rf_RMSE_std,rf_RMSE_min,rf_RMSE_max,MAPE_improvement_pct,rf_better_MAPE,MAE_improvement_pct,rf_better_MAE,RMSE_improvement_pct,rf_better_RMSE
h2,ycsb-600,8.394284619217284,0.2102833114409853,7.842834477840524,8.847936443116168,1680.2592656361787,36.35236948316962,1592.3604882595844,1769.450323730777,2072.763514617828,47.71991341589617,1968.4527102981465,2168.436964331749,3.5122417711474463,0.0873781365382265,3.34112033982647,3.682603911197037,720.3641734691768,19.46633556834854,683.6011593341856,770.4212560144819,954.9108959391916,27.17973731335917,913.0012488781588,1030.6363654644647,58.15912933060709,True,57.127796394181296,True,53.930543006723276,True
jump3r,beethoven.wav,25.760934477879395,0.4461983091057817,24.762744882788933,26.55619134352301,2.248147700289629,0.0488998375494629,2.159845823304056,2.354711787196289,2.897104037947109,0.059020196409112,2.790167907300245,3.0092764461348565,16.041284906259683,0.3276257275583965,15.474194631263089,16.62656332849383,1.6215914386896004,0.0431383751364163,1.548936300241228,1.69901611239889,2.398526526597095,0.0646799818479265,2.2842955168538537,2.522189021105818,37.73019018376782,True,27.869888687442963,True,17.209513528665212,True
jump3r,dual-channel.wav,23.390115438631717,0.5409867506493984,21.67352691507779,24.27880895943514,0.6151194862027283,0.0126263427342615,0.5806937608032171,0.6405038050924998,0.8525546668668443,0.0219010072388005,0.8147097245108517,0.9077182519389174,15.514874149644246,0.3146451850062771,14.775379217999973,16.285147052631014,0.4528403080894031,0.0107844036790548,0.4321251564898055,0.4763269980543312,0.6649776237521453,0.0171553265742592,0.6316772917301688,0.6979794711215362,33.66909970859109,True,26.381732615090968,True,22.001761342067187,True
jump3r,helix.wav,25.36784462041861,0.660597490445579,24.163513227226137,26.5363662630084,1.0999942915187442,0.023814840073253,1.0598025262134227,1.1488736485335085,1.5712602540313003,0.0901436547874875,1.433248935338559,1.7466246781684416,16.01042735232354,0.3661216823827102,15.397721312230026,16.766042897207782,0.8354920338742459,0.0237926234018575,0.7869131237762209,0.8800156000581557,1.302254025348769,0.0899065109216483,1.1978505754034388,1.5598240238414955,36.886922827346844,True,24.045784572145763,True,17.120411974550745,True
jump3r,single-channel.wav,18.9640644415732,0.3797425116634932,18.31819044191388,20.02879568732535,0.3240357539356112,0.0064899614435822,0.3149750404964364,0.3385002098296237,0.4266947968011853,0.008551121077026,0.4140173742698994,0.4480487790503531,14.070950561710651,0.2618600288939423,13.494789212912629,14.539054706879345,0.2578431597481039,0.0064904971897073,0.2471712518606696,0.273744339083118,0.3653013858852623,0.0088929012804987,0.3487263418827468,0.3890181529373765,25.802031494555667,True,20.427558805952117,True,14.388132073831864,True
jump3r,speech.wav,19.976707107895777,0.4122501470602546,19.20887244564897,21.059260346812884,0.811538336900963,0.0135586143605086,0.7726554710353053,0.8316239792427847,1.0242227130019357,0.0176787594147558,0.9732638707524544,1.0546547069654957,13.60170229183992,0.3157517043278257,12.93532015485585,14.28552494409788,0.6197321149473901,0.0146655870504465,0.5934108923988007,0.6420400854852414,0.8749372522507153,0.0191942357712405,0.8392474778649367,0.910008192240994,31.912190440716532,True,23.63489353885942,True,14.57548820741083,True
jump3r,sweep.wav,11.939896787124267,0.1980328543631582,11.62973292787856,12.375410976492068,0.0695000684407516,0.0013485071599146,0.0672362633559951,0.0724476527124663,0.0881329481061969,0.0018001119765409,0.0852310272652642,0.0916071919718073,9.088859798325364,0.1759296317552157,8.65387647832317,9.39071064908454,0.0551470059655941,0.0013316842803136,0.0520776499230752,0.0578841913318025,0.0776145940046032,0.0018565365675733,0.0740646752547128,0.0812010064680068,23.878238142505563,True,20.651868116350713,True,11.93464456552557,True
kanzi,ambivert,147.6528686371689,9.174888288521664,128.0830239670753,169.2075349252224,17.13177545414621,0.4448592703236227,16.203163802817738,18.02162305313376,27.46557727766843,0.6756939353800872,26.07276831771228,28.70264078507104,6.318612550308073,0.4850839617795772,5.65897813857715,7.864265177118869,1.0339844084278778,0.0631355379478938,0.9113126823338756,1.20416219611021,2.2492345756480416,0.3051307537302544,1.7968808186387413,3.341227294062694,95.72063000967833,True,93.96452275950399,True,91.81071436107466,True
kanzi,artificl,48.10399325036771,1.819461592381583,44.374795803475344,52.13223568512376,0.1996019563086208,0.0050205086965588,0.1915906957546245,0.2101767038760844,0.2922144434906416,0.0075485290712382,0.2769276553718821,0.3082175370000033,4.234653988558436,0.14813952318496,3.967762103575593,4.586730828287929,0.0213094003241491,0.0009992798405558,0.019483549432739,0.0235738654781199,0.046531141308035,0.0037251164948375,0.0382257100765832,0.0535599523406488,91.196876387126,True,89.32405236990718,True,84.07637187532615,True
kanzi,deepfield,1769.3290941688238,130.71056313527055,1569.6450848621278,2097.04153885116,19.00343982340363,0.4189664157372375,18.112855276778568,19.62610498670056,28.823291614575265,0.7004341294920804,27.340655779600887,30.17297259633245,5.077153125533124,0.3556570145213134,4.356328711889994,5.7854620464838105,0.7878083292814695,0.0668884648333498,0.6863941653160434,0.9875885332252856,2.18540712249164,0.3782004864487323,1.6011456313577592,3.5061210149827744,99.71304642294834,True,95.85439090710702,True,92.41791273628675,True
