system,workload,file_name,file_path,n_samples,n_features,target_name,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,datasets\x264\Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,3113,25,time,77.95124026083411,4.22730174448009,71.36594480984726,88.8707350121415,8.756717808837822,0.16770074067564752,8.529907438684665,9.063857018158977,11.296347645712078,0.22640627857298448,10.942300158845937,11.820622119940081
x264,blue_sky_1080p25_short.y4m,blue_sky_1080p25_short.y4m.csv,datasets\x264\blue_sky_1080p25_short.y4m.csv,3113,25,time,78.0697647601622,4.402340492966924,71.27456145877453,89.35974498708772,3.158743324196832,0.061107857759860724,3.0702811033761024,3.2657884224636917,4.075705667075732,0.08350876442744334,3.9570893970320182,4.2559383081661295
x264,pedestrian_area_1080p25_short.y4m,pedestrian_area_1080p25_short.y4m.csv,datasets\x264\pedestrian_area_1080p25_short.y4m.csv,3113,25,time,71.37683607228266,3.93614349697219,65.3673867425094,80.86895253406675,3.587437576233587,0.07502568431146443,3.4457331317850004,3.7429820442615367,4.635317687258889,0.09225678463213587,4.464022003381756,4.833201624033158
x264,riverbed_1080p25_short.y4m,riverbed_1080p25_short.y4m.csv,datasets\x264\riverbed_1080p25_short.y4m.csv,3113,25,time,65.96999200418014,3.6922980877088767,60.20812666262601,74.10298408484537,6.698200538152045,0.15096553283912031,6.397671166422026,7.085027656042558,8.852068488780175,0.20182737752357435,8.457829497026218,9.383259632245892
x264,sd_bridge_close_cif_short.y4m,sd_bridge_close_cif_short.y4m.csv,datasets\x264\sd_bridge_close_cif_short.y4m.csv,3113,25,time,51.94907397397235,2.3700939671854955,47.863394578430494,57.6009446799433,0.14203230152816293,0.0026843391445565256,0.13590035763225378,0.14763426238959507,0.1819179082736921,0.0035369620438898772,0.1734518570227759,0.1902077080871451
x264,sd_city_4cif_short.y4m,sd_city_4cif_short.y4m.csv,datasets\x264\sd_city_4cif_short.y4m.csv,3113,25,time,82.6653948404496,4.5247844214117,75.72411079748905,93.93573719385536,1.485768009672943,0.029647144359365683,1.4233642362784222,1.5440079551793433,1.9088059803088762,0.03553273209603283,1.8313118721015387,1.9859532441168506
x264,sd_crew_cif_short.y4m,sd_crew_cif_short.y4m.csv,datasets\x264\sd_crew_cif_short.y4m.csv,3113,25,time,62.2500509641126,3.1617128561795576,57.17512224103045,69.50344093320324,0.24688256574817607,0.005095323373851094,0.23518138643807812,0.2576520009053655,0.3192554493112624,0.006585052528700401,0.30364167900107875,0.33189973939878
x264,sintel_trailer_2k_720p24_short.y4m,sintel_trailer_2k_720p24_short.y4m.csv,datasets\x264\sintel_trailer_2k_720p24_short.y4m.csv,3113,25,time,51.32428783562802,2.4329887557466594,47.28664538321234,57.72820006175111,0.3721881180271826,0.005645275200980699,0.3615446591597821,0.3814893110750777,0.4685830281263562,0.0076042434399400255,0.4535077609924521,0.48184848044822176
xz,ambivert.wav.tar,ambivert.wav.tar.csv,datasets\xz\ambivert.wav.tar.csv,1999,33,time,135.3843101750014,6.831388515341927,118.58740966026855,146.75890102030843,13.202439284489698,0.3205403994368091,12.392519309531483,13.801840443837397,17.08966381256702,0.4593739418815447,16.17113130281926,17.993929798062393
xz,artificl.tar,artificl.tar.csv,datasets\xz\artificl.tar.csv,1999,33,time,29.30222920835427,1.2125935453909331,26.054269943728382,31.407619382909473,0.0064155955843926355,0.000138114802059436,0.0060925683889518165,0.006641050945031319,0.007644669279975526,0.00016855584066553518,0.007275470853731379,0.007920845452890495
xz,deepfield.tar,deepfield.tar.csv,datasets\xz\deepfield.tar.csv,1999,33,time,62.01598246993522,2.5595374582406705,56.59604650263056,67.78236479738578,5.736223435642283,0.17617998549395983,5.470952870894015,6.117258239437702,7.936684426015705,0.5721936722166999,6.9682782389558815,9.118799661514316
xz,enwik8.tar,enwik8.tar.csv,datasets\xz\enwik8.tar.csv,1999,33,time,201.8411819012701,7.977306940034118,187.0188545890253,222.58298539585212,71.851469044056,1.6447810434465124,68.79007290866983,75.221162486623,94.24274043705897,3.707081103241135,86.09980818668478,101.94204778957405
xz,fannie_mae_500k.tar,fannie_mae_500k.tar.csv,datasets\xz\fannie_mae_500k.tar.csv,1999,33,time,92.33647309507151,3.3697070119819523,86.3011058297061,97.95249577215502,30.348076740743394,0.640425958931468,28.778931380103945,31.398078013975123,36.163126817003786,0.7558093179294506,34.64397862488553,37.70135683146121
xz,large.tar,large.tar.csv,datasets\xz\large.tar.csv,1999,33,time,43.48381103624526,1.4774316656365893,40.54958375670187,45.76141222524653,1.8707927089901444,0.046008135423358895,1.7768492332778154,1.9515899270461319,2.302117227841674,0.054587670231008044,2.195006220807256,2.4186330862192045
xz,misc.tar,misc.tar.csv,datasets\xz\misc.tar.csv,1999,33,time,22.796182332701008,0.7050350251409441,20.822548333465114,23.970155409157286,0.08770178167376413,0.002393629479808046,0.08383183762664155,0.09214695374906741,0.1175283519941596,0.0056738531856701056,0.1075282038880072,0.12893294305312789
xz,silesia.tar,silesia.tar.csv,datasets\xz\silesia.tar.csv,1999,33,time,95.53194175596404,3.7515981265795717,86.82564718503227,103.1962327293231,62.035490310698684,1.3487872076561744,59.35576814552268,65.16181474577381,78.13692790044962,2.0064810568582887,74.2609578725253,82.48879707438367
xz,uiq-32.bin,uiq-32.bin.csv,datasets\xz\uiq-32.bin.csv,1999,33,time,121.11554824918274,5.032095782394012,110.0370048357983,131.9943984042983,73.05332134890742,1.7349794805602834,69.62217448325691,76.5935893524434,92.89907175696963,3.2415369587199145,87.10909592183197,100.28856320996199
